"","SYMBOL","ENTREZID"
"1230","LIPF","8513"
"1231","ATP1A2","477"
"1232","ATP1A3","478"
"1233","SOAT2","8435"
"1234","MTTP","4547"
"1235","PTK2B","2185"
"1236","PLA2G6","8398"
"1237","PLCL1","5334"
"1238","SLC29A4","222962"
"1239","NTSR2","23620"
"1240","SELP","6403"
"1241","FGFR4","2264"
"1242","FGF19","9965"
"1243","HGF","3082"
"1246","PPARGC1B","133522"
"1248","PTPN12","5782"
"1249","PTPN6","5777"
"1250","NPPB","4879"
"1251","GJA1","2697"
"1252","SELE","6401"
"1253","HIF1A","3091"
"1254","KCNJ4","3761"
"1255","KCNJ2","3759"
"1256","SLC22A12","116085"
"1258","RHO","6010"
"1259","GNG2","54331"
"1260","NPSR1","387129"
"1261","MAPK1","5594"
"1262","CDKN1A","1026"
"1263","HDAC1","3065"
"1264","PML","5371"
"1265","SULT1E1","6783"
"1266","TSPO","706"
"1268","RYR2","6262"
"1269","MAP2","4133"
"1270","MAP1A","4130"
"1271","LTA4H","4048"
"1272","SV2A","9900"
"1273","STMN4","81551"
"1274","TBXA2R","6915"
"1275","SLCO1B1","10599"
"1276","SLCO1B3","28234"
"1277","CAT","847"
"1279","MAP4","4134"
"1280","NR0B1","190"
"1281","CCDC51","79714"
"1282","SLCO2B1","11309"
"1283","KCNQ1","3784"
